Rating
Excellent 
Average
Very Good
Average
Excellent 
Excellent 
Very Good
Terrible
Average
Excellent 
Average
Very Good
Excellent 
Average
Very Good
Excellent 
Excellent 
Average
Excellent 
Very Good
Average
Poor
Average
Very Good
Very Good
Excellent 
Very Good
Poor
Excellent 
Poor
Average
Terrible
Excellent 
